run_id,workload,outstanding,req_bytes,rsp_bytes,linkRate,linkDelay,mtu,qdisc,p50_ns,p95_ns,p99_ns,completed,out_dir
20251014-154728-2a229f,rpc,1,1024,1024,10Gbps,50us,1500,none,101686,101686,101686,100,../out/sim/20251014-154728-2a229f
20251014-154914-939270,pingpong,1,256,256,10Gbps,50us,1500,none,100458,100458,100458,10000,../out/sim/20251014-154914-939270
20251014-154916-932370,pingpong,1,1024,1024,10Gbps,50us,1500,none,101686,101686,101686,10000,../out/sim/20251014-154916-932370
20251014-154919-91e770,pingpong,1,4096,4096,10Gbps,50us,1500,none,106674,106674,106674,10000,../out/sim/20251014-154919-91e770
20251014-154921-939297,pingpong,8,256,256,10Gbps,50us,1500,none,100458,100458,100458,10000,../out/sim/20251014-154921-939297
20251014-154923-932397,pingpong,8,1024,1024,10Gbps,50us,1500,none,101686,101686,101686,10000,../out/sim/20251014-154923-932397
20251014-154925-91e797,pingpong,8,4096,4096,10Gbps,50us,1500,none,106674,106674,106674,10000,../out/sim/20251014-154925-91e797
20251014-154928-93918f,pingpong,32,256,256,10Gbps,50us,1500,none,100458,100458,100458,10000,../out/sim/20251014-154928-93918f
20251014-154930-93208f,pingpong,32,1024,1024,10Gbps,50us,1500,none,101686,101686,101686,10000,../out/sim/20251014-154930-93208f
20251014-154932-91e48f,pingpong,32,4096,4096,10Gbps,50us,1500,none,106784,106784,106784,10000,../out/sim/20251014-154932-91e48f
20251014-154935-2a939f,rpc,1,256,256,10Gbps,50us,1500,none,100458,100458,100458,10000,../out/sim/20251014-154935-2a939f
20251014-154937-2a229f,rpc,1,1024,1024,10Gbps,50us,1500,none,101686,101686,101686,10000,../out/sim/20251014-154937-2a229f
20251014-154940-28e69f,rpc,1,4096,4096,10Gbps,50us,1500,none,106674,106674,106674,10000,../out/sim/20251014-154940-28e69f
20251014-154942-2a9378,rpc,8,256,256,10Gbps,50us,1500,none,100458,100458,100458,10000,../out/sim/20251014-154942-2a9378
20251014-154945-2a2278,rpc,8,1024,1024,10Gbps,50us,1500,none,101686,101686,101686,10000,../out/sim/20251014-154945-2a2278
20251014-154947-28e678,rpc,8,4096,4096,10Gbps,50us,1500,none,106674,106674,106674,10000,../out/sim/20251014-154947-28e678
20251014-154950-2a9060,rpc,32,256,256,10Gbps,50us,1500,none,100458,100458,100458,10000,../out/sim/20251014-154950-2a9060
20251014-154953-2a2160,rpc,32,1024,1024,10Gbps,50us,1500,none,101686,101686,101686,10000,../out/sim/20251014-154953-2a2160
20251014-154955-28e560,rpc,32,4096,4096,10Gbps,50us,1500,none,106784,106784,106784,10000,../out/sim/20251014-154955-28e560
